,mes,mm,instalacao,medidor
3,8,151,0001420297,12920022
0,5,73,0160324953,13337153
1,7,48,0160324953,13337153
2,8,69,0160324953,13337153
0,5,104,0001770520,12996224
1,6,154,0001770520,12996224
2,7,167,0001770520,12996224
0,6,56,0009501187,12680549
0,5,292,0000223551,13959964
1,6,192,0000223551,13959964
0,5,52,0160348616,12919383
0,5,54,0009501034,12680531
0,5,75,0001331868,00056427
1,6,56,0001331868,00056427
0,5,705,0000246983,00066344
1,6,54,0000246983,00066344
0,6,60,0000246983,15314027
1,7,97,0000246983,15314027
2,8,54,0000246983,15314027
0,5,98,0001990254,13058391
1,6,250,0001990254,13058391
2,7,197,0001990254,13058391
3,8,123,0001990254,13058391
0,5,50,0160662730,14631363
1,6,55,0160662730,14631363
0,7,352,0160662730,15537702
1,8,618,0160662730,15537702
0,5,148,0000153015,12875599
1,6,130,0000153015,12875599
0,7,260,0160324075,15288108
0,5,99,0160392312,13523876
0,5,695,0001007033,13406564
0,5,60,0009500555,15476007
1,6,88,0009500555,15476007
2,7,161,0009500555,15476007
3,8,142,0009500555,15476007
0,7,52,0009500811,15536974
1,8,51,0009500811,15536974
0,7,74,0001190018,15268900
1,8,174,0001190018,15268900
0,8,88,0009500555,13830433
0,5,95,0160283334,13960018
1,6,84,0160283334,13960018
2,7,66,0160283334,13960018
0,5,201,0160075574,12680704
1,6,157,0160075574,12680704
0,7,251,0160186839,13058158
1,8,164,0160186839,13058158
0,8,481,0001770062,15268922
0,6,64,0000357754,15368348
1,7,743,0000357754,15368348
2,8,341,0000357754,15368348
0,7,58,0009500350,14907408
1,8,744,0009500350,14907408
0,7,58,0009500350,14907415
1,8,744,0009500350,14907415
0,5,273,0009501230,13144056
1,8,185,0009501230,13144056
0,5,87,0009501230,13144057
1,7,59,0009501230,13144057
0,5,743,0160158470,12919920
1,6,317,0160158470,12919920
0,8,193,0160158470,15496838
0,5,693,0160047058,13241002
1,6,595,0160047058,13241002
0,6,56,0160504929,15405973
1,7,112,0160504929,15405973
2,8,89,0160504929,15405973
0,5,159,0000776568,13431873
0,6,58,0001807153,15496704
1,7,54,0001807153,15496704
2,8,58,0001807153,15496704
0,5,51,0009501465,12919425
1,6,57,0009501465,12919425
2,7,117,0009501465,12919425
0,5,51,0009501465,12919425
1,6,57,0009501465,12919425
2,7,117,0009501465,12919425
0,5,51,0009501465,12919425
1,6,57,0009501465,12919425
2,7,117,0009501465,12919425
0,5,106,0000816335,12828120
1,6,142,0000816335,12828120
2,8,130,0000816335,12828120
0,7,361,0160458927,15368537
1,8,724,0160458927,15368537
0,5,163,0160305164,13431293
1,6,232,0160305164,13431293
2,7,370,0160305164,13431293
3,8,77,0160305164,13431293
0,5,294,0000859462,13017187
1,6,300,0000859462,13017187
2,7,180,0000859462,13017187
0,8,269,0160831392,13017279
0,5,101,0001161423,13862410
1,6,102,0001161423,13862410
0,5,58,0160395572,12919288
1,6,105,0160395572,12919288
2,7,119,0160395572,12919288
0,5,160,0160476674,13266288
1,6,113,0160476674,13266288
2,7,64,0160476674,13266288
0,5,107,0160275194,12680646
1,6,143,0160275194,12680646
0,5,220,0160314393,13521235
1,6,105,0160314393,13521235
0,7,48,0160314393,15345574
1,8,58,0160314393,15345574
0,5,256,0160448504,13306318
1,6,286,0160448504,13306318
2,7,159,0160448504,13306318
3,8,204,0160448504,13306318
0,6,49,0009500096,32180243
0,5,401,0009500096,32180035
1,8,466,0009500096,32180035
0,6,85,0160246181,15057853
1,7,434,0160246181,15057853
2,8,369,0160246181,15057853
0,5,533,0160198809,13133148
0,5,71,0000143887,13059131
0,5,158,0000152916,00048506
1,6,77,0000152916,00048506
0,5,85,0009501907,12680546
1,6,72,0009501907,12680546
2,7,91,0009501907,12680546
3,8,81,0009501907,12680546
0,5,117,0000003316,13057849
1,6,134,0000003316,13057849
2,7,88,0000003316,13057849
3,8,108,0000003316,13057849
0,5,82,0000762559,13058207
1,6,78,0000762559,13058207
0,5,129,0001530779,13058405
0,5,658,0160608520,14132581
1,6,632,0160608520,14132581
2,7,258,0160608520,14132581
0,5,282,0000655992,12794371
1,6,235,0000655992,12794371
2,7,84,0000655992,12794371
0,5,99,0000825937,32152655
1,6,56,0000825937,32152655
2,7,67,0000825937,32152655
0,5,57,0160372975,12919180
0,5,130,0000627371,13523274
1,6,59,0000627371,13523274
2,8,61,0000627371,13523274
0,7,50,0000152021,13523282
0,7,48,0000630107,14317084
0,5,263,0160416792,13523796
1,6,185,0160416792,13523796
2,7,88,0160416792,13523796
0,7,57,0160416792,15288178
1,8,743,0160416792,15288178
0,6,79,0000964156,15347713
1,7,157,0000964156,15347713
2,8,205,0000964156,15347713
0,5,459,0160488108,13831674
0,5,323,0001304429,12920227
1,6,247,0001304429,12920227
2,7,299,0001304429,12920227
3,8,60,0001304429,12920227
0,5,130,0000805964,13074443
1,6,93,0000805964,13074443
0,7,49,0160325826,15347805
1,8,48,0160325826,15347805
0,5,290,0001798069,12920387
0,5,72,0160282809,13266283
1,6,78,0160282809,13266283
2,7,214,0160282809,13266283
3,8,301,0160282809,13266283
0,5,320,0160505809,13959920
0,5,139,0000530805,13058037
1,6,61,0000530805,13058037
0,5,55,0000687964,12680663
1,6,48,0000687964,12680663
2,8,50,0000687964,12680663
0,5,266,0000816486,13240835
1,6,175,0000816486,13240835
2,8,78,0000816486,13240835
0,5,391,0000511815,13058174
1,6,278,0000511815,13058174
2,8,156,0000511815,13058174
0,5,74,0160669410,14763516
0,5,53,0160669410,15406000
1,6,67,0160669410,15406000
2,7,62,0160669410,15406000
0,5,740,0000439302,12874965
1,6,53,0000439302,12874965
0,7,359,0000439302,15473363
1,8,742,0000439302,15473363
0,5,248,0160277147,13306312
1,6,226,0160277147,13306312
2,7,62,0160277147,13306312
0,5,386,0000007086,12680605
1,6,107,0000007086,12680605
2,7,67,0000007086,12680605
0,5,101,0160810548,15220878
1,7,54,0160810548,15220878
2,8,71,0160810548,15220878
0,5,180,0009501651,12680543
1,6,129,0009501651,12680543
2,7,176,0009501651,12680543
3,8,153,0009501651,12680543
0,5,129,0160281749,12874901
1,6,53,0160281749,12874901
2,8,48,0160281749,12874901
0,5,141,0001291293,12680686
0,5,158,0160512228,13862476
1,6,107,0160512228,13862476
0,8,225,0160512228,15543382
0,5,703,0000758717,13017292
1,6,76,0000758717,13017292
0,6,50,0160039108,12680493
0,6,50,0160039108,12680493
0,5,60,0160355767,13431883
1,6,107,0160355767,13431883
0,7,197,0160101624,15496685
1,8,590,0160101624,15496685
0,5,170,0001099527,12680595
1,6,116,0001099527,12680595
2,7,48,0001099527,12680595
3,8,87,0001099527,12680595
0,5,94,0160054225,12680558
1,6,66,0160054225,12680558
0,7,53,0000235486,13240814
1,8,75,0000235486,13240814
0,5,79,0000608265,14478766
1,6,150,0000608265,14478766
2,7,117,0000608265,14478766
0,8,95,0000608265,15314025
0,8,545,0160180320,15431981
0,5,157,0009501343,12794323
1,6,163,0009501343,12794323
2,7,155,0009501343,12794323
3,8,144,0009501343,12794323
0,7,130,0009501343,14317175
1,8,705,0009501343,14317175
0,5,158,0001828345,13058080
1,6,185,0001828345,13058080
2,7,108,0001828345,13058080
0,5,241,0000906455,00048071
1,6,110,0000906455,00048071
2,7,52,0000906455,00048071
3,8,158,0000906455,00048071
0,5,138,0009501697,12793974
1,6,241,0009501697,12793974
0,8,106,0009501697,15536950
0,5,210,0009500312,12794212
0,8,445,0009500312,15476025
0,5,139,0160188144,13058305
1,7,100,0160188144,13058305
2,8,104,0160188144,13058305
0,5,77,0009501365,12919198
1,7,54,0009501365,12919198
2,8,81,0009501365,12919198
0,5,578,0009502364,12680471
0,5,54,0160050816,12680682
1,6,76,0160050816,12680682
2,8,71,0160050816,12680682
0,5,177,0001136932,13240837
0,7,144,0001136932,15347807
1,8,412,0001136932,15347807
0,5,172,0000506308,13406383
0,6,91,0000506308,15473348
1,7,180,0000506308,15473348
2,8,177,0000506308,15473348
0,5,56,0000565306,14130120
1,7,84,0000565306,14130120
0,5,572,0160342980,13406471
1,6,487,0160342980,13406471
2,8,52,0160342980,13406471
0,5,90,0160044128,12680655
1,6,81,0160044128,12680655
0,5,103,0000823778,15203978
1,7,70,0000823778,15203978
0,8,59,0160456338,12697327
0,5,48,0000795621,00008967
1,6,63,0000795621,00008967
2,7,103,0000795621,00008967
3,8,157,0000795621,00008967
0,7,55,0160025048,15537020
1,8,268,0160025048,15537020
0,7,55,0160025048,15537020
1,8,268,0160025048,15537020
0,5,743,0001527483,12828118
1,6,101,0001527483,12828118
0,5,83,0000625696,13058559
1,8,220,0000625696,13058559
0,8,48,0160101225,14866763
0,5,510,0000493178,13831495
1,6,468,0000493178,13831495
2,7,155,0000493178,13831495
0,5,370,0000511446,12919962
1,6,361,0000511446,12919962
2,8,97,0000511446,12919962
0,5,330,0001817718,12793559
0,6,150,0001817718,15496666
1,7,173,0001817718,15496666
2,8,200,0001817718,15496666
0,5,273,0000120462,13057718
1,6,58,0000120462,13057718
2,7,702,0000120462,13057718
3,8,348,0000120462,13057718
0,5,176,0000333827,12680648
1,6,175,0000333827,12680648
2,7,122,0000333827,12680648
3,8,135,0000333827,12680648
0,5,237,0000425744,12680701
1,6,179,0000425744,12680701
2,7,107,0000425744,12680701
3,8,69,0000425744,12680701
0,5,72,0160023919,12680607
1,6,83,0160023919,12680607
2,7,80,0160023919,12680607
3,8,51,0160023919,12680607
0,5,110,0160277084,12874931
1,6,82,0160277084,12874931
2,7,56,0160277084,12874931
3,8,77,0160277084,12874931
0,8,553,0001214414,15347742
0,8,86,0000180933,15496914
0,5,161,0001059825,12874967
1,6,82,0001059825,12874967
2,7,220,0001059825,12874967
3,8,172,0001059825,12874967
0,5,364,0000051508,13831653
0,8,555,0000051508,15347749
0,5,238,0000459468,12680653
1,6,194,0000459468,12680653
2,7,54,0000459468,12680653
3,8,116,0000459468,12680653
0,5,323,0000719904,12827988
