;instalacao;data
1319;1974562;2019-05-22
1319;1974562;2019-06-18
1319;1974562;2019-07-20
391;1990254;2019-05-23
391;1990254;2019-06-21
391;1990254;2019-07-22
391;1990254;2019-08-22
1075;1990414;2019-05-22
1075;1990414;2019-06-19
1076;1990414;2019-08-21
350;9500006;2019-05-27
1232;9500072;2019-05-23
1232;9500072;2019-06-24
1232;9500072;2019-07-26
1235;9500072;2019-08-22
286;9500086;2019-05-23
286;9500086;2019-07-26
467;9500096;2019-01-05
466;9500096;2019-01-06
467;9500096;2019-01-08
253;9500109;2019-05-23
253;9500109;2019-06-24
253;9500109;2019-07-26
254;9500109;2019-08-22
1115;9500206;2019-06-25
1115;9500206;2019-07-26
1115;9500206;2019-08-23
576;9500312;2019-05-23
578;9500312;2019-08-22
193;9500326;2019-05-23
193;9500326;2019-07-26
193;9500326;2019-08-22
426;9500350;2019-01-07
425;9500350;2019-01-08
1206;9500363;2019-06-24
1206;9500363;2019-08-22
1005;9500423;2019-05-23
1005;9500423;2019-06-24
1007;9500423;2019-07-26
1007;9500423;2019-08-22
176;9500467;2019-05-24
176;9500467;2019-06-25
183;9500467;2019-07-26
183;9500467;2019-08-23
406;9500555;2019-05-24
406;9500555;2019-06-25
406;9500555;2019-07-26
409;9500555;2019-08-23
1273;9500569;2019-07-28
657;9500573;2019-07-28
657;9500573;2019-08-26
1302;9500605;2019-05-23
654;9500667;2019-07-26
654;9500667;2019-08-22
1299;9500677;2019-07-26
1299;9500677;2019-08-22
802;9500718;2019-06-26
802;9500718;2019-07-28
802;9500718;2019-08-26
407;9500811;2019-07-26
407;9500811;2019-08-23
10;9500838;2019-05-27
10;9500838;2019-07-28
10;9500838;2019-08-26
955;9500880;2019-05-24
955;9500880;2019-06-25
955;9500880;2019-07-26
955;9500880;2019-08-23
1320;9500923;2019-05-27
144;9500926;2019-05-23
144;9500926;2019-06-24
144;9500926;2019-07-26
144;9500926;2019-08-22
163;9500936;2019-05-23
164;9500936;2019-07-26
164;9500936;2019-08-22
793;9500937;2019-05-23
793;9500937;2019-06-24
702;9500960;2019-05-24
702;9500960;2019-06-25
702;9500960;2019-07-26
385;9501034;2019-05-23
1317;9501035;2019-05-23
1317;9501035;2019-06-24
946;9501044;2019-05-27
841;9501057;2019-07-26
841;9501057;2019-08-23
938;9501071;2019-07-26
35;9501113;2019-05-24
35;9501113;2019-06-25
35;9501113;2019-07-26
35;9501113;2019-08-23
39;9501159;2019-05-23
39;9501159;2019-06-24
39;9501159;2019-08-22
382;9501187;2019-06-26
427;9501230;2019-01-05
428;9501230;2019-01-07
427;9501230;2019-01-08
1117;9501254;2019-05-24
565;9501343;2019-05-28
565;9501343;2019-06-27
565;9501343;2019-07-28
565;9501343;2019-08-27
125;9501360;2019-05-27
125;9501360;2019-07-28
125;9501360;2019-08-26
581;9501365;2019-05-23
581;9501365;2019-07-26
581;9501365;2019-08-22
442;9501465;2019-05-23
442;9501465;2019-06-24
442;9501465;2019-07-26
126;9501537;2019-05-24
126;9501537;2019-06-25
126;9501537;2019-07-26
126;9501537;2019-08-23
965;9501604;2019-06-24
535;9501651;2019-05-23
535;9501651;2019-06-24
535;9501651;2019-07-26
535;9501651;2019-08-22
1088;9501693;2019-05-23
1088;9501693;2019-06-24
1094;9501693;2019-07-26
1094;9501693;2019-08-22
573;9501697;2019-05-28
573;9501697;2019-06-27
575;9501697;2019-08-27
1249;9501709;2019-05-23
1249;9501709;2019-06-24
1249;9501709;2019-07-26
1249;9501709;2019-08-22
215;9501716;2019-08-23
672;9501779;2019-05-23
672;9501779;2019-06-24
672;9501779;2019-08-22
159;9501782;2019-06-27
159;9501782;2019-07-28
159;9501782;2019-08-27
1143;9501888;2019-05-27
272;9501891;2019-08-23
213;9501898;2019-08-23
957;9501900;2019-05-24
957;9501900;2019-06-25
957;9501900;2019-07-26
957;9501900;2019-08-23
901;9501902;2019-01-05
901;9501902;2019-01-06
901;9501902;2019-01-07
481;9501907;2019-05-24
481;9501907;2019-06-25
481;9501907;2019-07-26
481;9501907;2019-08-23
897;9501935;2019-05-23
897;9501935;2019-06-24
897;9501935;2019-07-26
1256;9501997;2019-06-25
